YKEY	연세대본 계서야담	C000001	1/010/010/000	b2	古有一宰爲關伯	YSEO	연대본 쇄어	C000001	1/010/010/000	b2	古有一宰相爲關西伯
YKEY	연세대본 계서야담	C000012	2/040/030/000	c1	生心甚恨之 無聊而出 吏問曰 得見其妓乎 生曰 霎時見面 仍道其一入不出之狀 吏曰 妓兒情態 本自如此 較冷煖而送舊迎新 何足責乎 生自念行色 進退不得 心甚悶矣	YSEO	연대본 쇄어	C000012	2/040/030/000	c1	其吏問曰 得見厥妓否 生曰 霎時見面 仍道其入房不出之狀 吏曰 妓兒情態 本自如此 較冷暖 而送舊迎新 何足責也 生自念行色 進退不得 心甚悶之矣
YKEY	연세대본 계서야담	C000013	2/050/010/000	b	厥妓一見生之面目 心知其下來 欲出一面 而其奈冊室暫不得使離 何哉 仍心思脫身之計 忽爾渾淚 作悲哀之狀 冊室驚問曰 汝何作此樣也 妓掩抑而對曰 小人家無他兄弟 故小人在家之日 親自掃雪 於亡父之墳墓矣 今日大雪 無人掃雪 是以悲矣 冊室曰 然則 吾使一隸掃之矣 妓止之曰 此非官事 當此寒沍 使渠掃雪 於不當之小人先山則 小人之亡父 必得無限辱說 此則大不可 小人暫往而掃之 旋卽入來 無妨矣 且父墳在於城外十里之地 去來之間 不過數食頃矣 冊室憐其情事而許之	YSEO	연대본 쇄어	C000013	2/050/010/000	b	厥女一見生之面目 心知其下來 欲出一面 而其奈冊室暫不得使離 何哉 仍心思脫身之計 忽爾揮淚 作悲苦之狀 冊室驚問曰 汝何作此樣也 妓掩抑而對曰 小人無他兄弟 故小人在家之日 親自掃雪 於亡父之墳上矣 今日大雪 無人掃雪 是以悲之 冊室曰 若然則 吾使一隸掃之矣 妓止之曰 此非官事 當此寒沍 使渠掃雪 於不當之小人先山則 小人及小人之亡父 必得無限辱說 此則大不可 小人暫往掃 旋卽入來 無妨矣 且父之墳在於城外未十里之地 去來之間 不過數頃矣 冊室憐其情而許之
YKEY	연세대본 계서야담	C000014	2/050/020/000	a2	厥妓卽往其家問母曰 某處書房主 豈不下來此乎 母曰 數日前 暫來見而去矣 妓呑聲而責其母曰 人固如是乎 彼以卿相家貴公子 千里此行 專爲見我而來則 母親何不挽留 而通我乎 母以冷落之事相接 彼肯留此乎 仍揮涕不已	YSEO	연대본 쇄어	C000014	2/050/020/000	a2	厥妓卽往其母家問曰 某書房主 豈不來此乎 母曰 數日前 暫來見而去矣 妓曰 來則何不使留之 母曰 汝旣不在 留何益 妓曰 向何處去乎 彼以卿相家貴公子 千里此行 專爲見我而來則 母親何不挽留 而通于我乎 母曰 吾無不詞 彼亦不言而去矣 妓呑聲 而責其母曰 人情固如是乎 母以冷落之色相接 彼肯留此乎 仍揮涕不已
YKEY	연세대본 계서야담	C000015	2/050/030/000	b	欲訪其所在處 而無處可問 忽念前等吏房 每親近於冊室 無或寄宿其家耶 乃忙步往尋則 果在矣 相與執手 悲喜交切 妓曰 妾旣一見書房主則 斷無相捨之意 不如從此 相携逃避矣	YSEO	연대본 쇄어	C000015	2/050/030/000	b	欲訪其所在處 而無處可問 忽念前等吏房 每親近於冊室 無或寄宿其家耶 忙步往尋則 果在矣 相與執手 悲喜交切
YKEY	연세대본 계서야담	C000016	2/060/010/000	b	因還至其家則 母適不在 搜其箱篋中 所貯五六兩銀子 且以渠之資粧貝物 作一負卜 貰人背負 往其吏家 使吏貰得二疋馬 吏曰 貰馬往來之際 蹤跡易露 吾有數匹健 可以贐之 又出四五十兩 俾作路需 生與厥妓 卽地發行	YSEO	연대본 쇄어	C000016	2/060/010/000	b	妓曰 妾旣一見書房主則 斷無相捨意 不如從此 而相携逃避矣 遂還至其家則 其母適不在 搜其箱篋中 所儲五六百銀子 且以渠之資粧貝物 作一負卜 貰人負 往其吏家 貰得二疋馬 吏曰 貰馬往來之際 踪跡易露 吾有數疋健馬 可以贐之 又出四五十兩錢 俾作路需
YKEY	연세대본 계서야담	C000017	2/060/020/000	b	向陽 德孟山之境 買舍於靜僻處 居焉	YSEO	연대본 쇄어	C000017	2/060/020/000	b	生與厥妓 卽地發行 向陽 德孟山之境 買舍於靜僻處 以居焉
YKEY	연세대본 계서야담	C000018	2/060/030/000	b	伊日營冊室 怪其妓到晚不來 使人探之 則去形影 問于其母則 母亦驚惶 而不知去向 使人四索 終莫能知矣	YSEO	연대본 쇄어	C000018	2/060/030/000	b	伊日營冊 恠其妓之到晚不來 使人探之 則無形影 問于其母則 母亦驚遑 而不知去向 使人四索 而終無形影矣
YKEY	연세대본 계서야담	C000019	3/010/010/000	b	厥妓整頓家事謂生曰 郎旣背親而作此行則 可謂父母之罪人也 贖罪之道 惟在登科 結科之道 在乎勤課 衣食之憂 付之於妾 自今用力於課讀 然後可以有爲矣	YSEO	연대본 쇄어	C000019	3/010/010/000	b	厥妓整頓家事謂生 郎旣背親而作此行則 可謂父母之罪人也 贖罪之道 惟在於登科 決科之道 惟在勤業 衣食之憂 付之於妾 自今讀之做之 用功倍 他然後 可以有爲
YKEY	연세대본 계서야담	C000020	3/010/020/000	c	使之遍求書冊賣之 不計其價	YSEO	연대본 쇄어	C000020	3/010/020/000	c	使之遍求書冊之賣者 不計價而買之
YKEY	연세대본 계서야담	C000021	3/010/030/000	b	自此勤業 科工日就	YSEO	연대본 쇄어	C000021	3/010/030/000	b	自此勤業 科工日就
YKEY	연세대본 계서야담	C000022	3/020/010/000	b2	過四五年之後 國有大慶 方設科取士 女勸生作科行 準備資斧而送之 生上京不得往其家 寓於旅舍 及期赴場 懸題後 一筆揮灑 呈券而待榜 榜出 生嵬忝弟一人矣	YSEO	연대본 쇄어	C000022	3/020/010/000	b2	如是而過四五年之後 國有大慶 方設科取士 女勸生觀行 行資準備而送之 生上京不得入其家 寓於旅舍 及期赴場 懸題後 一筆揮洒 呈卷而待榜 榜出 生嵬忝第一人矣
YKEY	연세대본 계서야담	C000023	3/020/020/000	c	自上招吏判 近榻前而敎曰 曾聞卿之獨子 讀書山寺 爲虎所噉去云矣 今見新榜壯元秘封則 的是 卿之子 而職啣何爲而書大司憲也 是可訝 而父子之同名 亦是異事 且朝班宰列 寧有卿名之二人乎 誠莫曉其故也	YSEO	연대본 쇄어	C000023	3/020/020/000	c	自上招吏判 近榻前而敎曰 曾聞卿之子 而職啣何爲而書大司憲也 是可訝也 吏判俯伏曰 臣亦疑訝 而臣之子 決無生存之理 或有姓名同之人而然也 然而父子之同名 亦是異事 且朝班中宰列 寧有臣名之二人乎 誠莫曉其故也
YKEY	연세대본 계서야담	C000024	3/030/010/000	c	上使呼新恩來 吏判俯伏榻下而俟之 及新恩入侍則 果是其子	YSEO	연대본 쇄어	C000024	3/030/010/000	c	上使之呼新來 吏判俯伏榻前而俟之 及新恩承命入侍則 果是其子
YKEY	연세대본 계서야담	C000025	3/030/020/000	b	上異之 使之近前 詳問其委折 新恩俯伏而起 以其背親逃走 之事 掃雪營庭之擧 以至與妓逃避 做工登科之由 一一詳達	YSEO	연대본 쇄어	C000025	3/030/020/000	b	上異之 使之近前 詳問其委折 新恩俯伏而起 以其背親逃走之事 及掃雪營庭之事 以至與妓逃避 做工登科之由 一一詳細奏達
YKEY	연세대본 계서야담	C000026	3/030/030/000	b	父子相持 暗暗揮涕 不忍相捨	YSEO	연대본 쇄어	C000026	3/030/030/000	b	父子相持 暗揮淚 不忍相捨
YKEY	연세대본 계서야담	C000027	3/040/010/000	b	上拍案稱奇而敎曰 汝非悖子 乃是孝子也 汝妻之節槩志慮 卓越於他 不知賤娼流 乃有如此人物 此則不可以賤娼待之 可陞副室 卽日 下諭關西道臣 使之治送其妓	YSEO	연대본 쇄어	C000027	3/040/010/000	b	上拍案稱奇而敎曰 汝非悖子 乃孝子也 汝妾之節槩志慮 卓越於他 不知賤娼之間 乃有如此人物 此則不可以賤倡待之 可陞爲副室 卽日 下諭關西道臣 使之治送其妓
YKEY	연세대본 계서야담	C000028	3/040/020/000	b	新恩謝恩而退 隨其父還家 家中慶喜之狀 溢於內外	YSEO	연대본 쇄어	C000028	3/040/020/000	b	新恩謝恩而退 隨其父還家 家中慶喜之狀 溢於內外
YKEY	연세대본 계서야담	C000029	3/050/010/000	x		YSEO	연대본 쇄어	C000029	3/050/010/000	x	
YKEY	연세대본 계서야담	C000030	3/050/020/000	b	封內職啣之書 以大司憲者 盖是上山時 所帶職故也 妓名紫鸞 字玉簫仙云爾	YSEO	연대본 쇄어	C000030	3/050/020/000	b	封內職啣之書 以大司憲 盖是上山時 所帶職故也 妓名紫鸞 字玉簫仙云爾
